Nyckel;Miltal;MY;Kaross;Drift;Märke;Modell;Pris;Dragkrok;Batteristorlek
1;1300;2023;Halvkombi;2;Volkswagen;ID.3;349000;1;58
2;4050;2021;SUV;2;Volkswagen;ID.4;299000;1;58
3;6200;2021;SUV;2;Volkswagen;ID.4;329000;1;77
4;990;2023;Halvkombi;2;Volkswagen;ID.3;329000;0;58
5;1200;2023;Halvkombi;2;Volkswagen;ID.3;329000;0;58
6;2918;2023;Sedan;4;Tesla;Model S;899800;0;95
7;4968;2022;Halvkombi;2;Renault;Zoe;159900;0;52
8;6900;2022;SUV;4;Tesla;Model Y;369900;0;75
9;8307;2021;SUV;4;Tesla;Model Y;335000;0;75
10;8892;2020;Sedan;4;Porsche;Taycan;599800;0;84
11;0;2024;Halvkombi;4;Volvo;EX30;625300;0;64
12;0;2024;SUV;4;Volvo;C40;736200;0;79
13;0;2024;SUV;4;Volvo;XC40;686200;0;79
14;1185;2023;SUV;4;Mercedes-Benz;EQE;699000;0;91
15;600;2025;Yrkesfordon;2;Mercedes-Benz;eSprinter ;811250;0;81
16;143;2024;Sedan;4;Mercedes-Benz;EQE;829800;0;89
17;0;2023;Yrkesfordon;2;Peugeot;e-Partner;398800;0;50
18;5805;2021;Sedan;4;Tesla;Model 3;319800;0;76
19;981;2024;Halvkombi;4;Volvo;EX30;489000;0;64
20;1066;2024;SUV;2;Volvo;C40;409900;0;79
21;536;2025;SUV;2;Volvo;EX40;494900;0;79
22;1275;2024;Halvkombi;4;Volvo;EX30;434900;0;64
23;1043;2025;SUV;4;Volvo;EX40;579900;1;79
24;1777;2024;SUV;2;Volvo;XC40;469900;0;79
25;0;2023;Halvkombi;2;Fiat;500e;354900;0;42
26;3486;2023;Sedan;4;Polestar;2;419900;0;78
27;0;2024;Familjebuss;4;Kia;EV9;897900;0;100
28;3520;2023;Halvkombi;2;Renault;Mégane;299900;0;60
29;1330;2024;Familjebuss;2;Volkswagen;ID.Buzz;629500;0;77
30;6280;2022;SUV;2;Volvo;XC40;359900;0;67
31;6450;2020;SUV;4;Tesla;Model X;649900;1;98
32;6012;2023;SUV;2;Volkswagen;ID.4;359900;1;77
33;3781;2022;Halvkombi;2;Volkswagen;ID.3;324900;0;77
34;0;2024;Yrkesfordon;2;Mercedes-Benz;eVito;661250;0;60
35;1;2023;Yrkesfordon;2;Citroën;e-jumpy;499000;1;75
36;4750;2022;Sedan;4;Tesla;Model 3;399900;0;75
37;862;2024;SUV;4;Volvo;XC40;499900;0;79
38;3670;2020;Sedan;4;Porsche;Taycan;949900;0;84
39;4284;2022;SUV;2;Volvo;XC40;359900;1;67
40;6645;2021;Sedan;2;Tesla;Model 3;299900;0;55
41;8298;2022;SUV;4;Tesla;Model Y;389900;1;75
42;4989;2023;SUV;4;Tesla;Model X;999900;1;95
43;2540;2021;SUV;2;Mercedes-Benz;EQA;349900;0;70
44;5107;2022;SUV;4;Skoda;Enyaq;399900;1;80
45;2571;2021;Halvkombi;2;Kia;e-Soul;199900;0;39
46;0;2024;SUV;2;Fiat;600e;369900;0;54
47;8550;2022;Sedan;4;Audi;E-tron;599000;0;85
48;11500;2019;Sedan;4;Tesla;Model 3;235000;1;74
49;0;2025;Yrkesfordon;2;Nissan;Townstar;473625;0;45
50;6825;2014;Halvkombi;2;BMW;i3;124800;0;22
51;8207;2014;Halvkombi;2;BMW;i3;119800;0;22
52;7130;2019;Sedan;4;Tesla;Model S;379900;0;73
53;6057;2022;Halvkombi;2;Volkswagen;ID.3;274900;0;58
54;1000;2023;Halvkombi;2;Volkswagen;ID.3;349000;0;58
55;9257;2022;Halvkombi;4;Audi;E-tron;679000;0;85
56;1300;2024;Sedan;2;Volkswagen;ID.7;519000;0;77
57;2948;2023;Coupé;4;Volkswagen;ID.5;499900;1;77
58;5112;2020;SUV;2;Kia;e-Niro;289900;0;64
59;1348;2023;SUV;4;Kia;EV6;569900;0;77
60;8073;2022;SUV;2;Kia;EV6;359900;0;77
61;6011;2021;SUV;2;Kia;e-Niro;269900;0;64
62;1549;2023;SUV;4;Kia;EV6;529900;0;77
63;5066;2021;SUV;2;Kia;e-Niro;259899;0;64
64;2719;2022;SUV;2;Kia;e-Niro;309900;0;64
65;7383;2021;SUV;2;Kia;e-Niro;249900;0;64
66;3645;2021;SUV;2;Kia;e-Niro;279900;0;64
67;3717;2022;SUV;2;Kia;e-Niro;309900;0;64
68;4723;2022;SUV;2;Kia;e-Niro;309900;0;64
69;5768;2021;SUV;2;Kia;e-Niro;279900;0;64
70;5569;2022;SUV;2;Kia;e-Niro;289900;0;64
71;5077;2023;SUV;4;Skoda;Enyaq;509000;1;80
72;6627;2020;SUV;2;Kia;e-Niro;269900;0;64
73;4781;2022;SUV;2;Kia;e-Niro;309900;0;64
74;7383;2022;SUV;2;Kia;e-Niro;264900;0;64
75;8649;2020;SUV;2;Kia;e-Niro;249900;0;64
76;4225;2023;Yrkesfordon;2;Volkswagen;ID.Buzz cargo;449500;1;77
77;5318;2023;SUV;4;Volvo;XC40;469000;0;79
78;4666;2022;SUV;4;Tesla;Model Y;419000;0;75
79;9100;2021;SUV;4;Ford;Mustang;349800;0;91
80;0;2023;Pickup;4;Ford;F150;1599000;1;131
81;1125;2024;Yrkesfordon;2;Volkswagen;ID.Buzz cargo;589900;1;77
82;2457;2023;Halvkombi;2;Cupra;Born;318900;0;58
83;8841;2022;SUV;4;Tesla;Model Y;348900;0;75
84;7927;2020;SUV;2;Hyundai;Kona;193000;0;64
85;0;2024;Halvkombi;2;Smart;#3;365400;0;66
86;0;2024;Halvkombi;2;Smart;#3;365400;0;66
87;0;2024;Halvkombi;4;Smart;#1;424900;0;66
88;1;2024;Halvkombi;2;Smart;#1;494900;0;66
89;1;2024;Halvkombi;2;Smart;#1;494900;0;66
90;1;2024;Halvkombi;2;Smart;#1;494900;0;66
91;0;2024;Halvkombi;4;Smart;#1;424900;0;66
92;5414;2022;SUV;4;Tesla;Model Y;384800;0;75
93;4620;2022;Sedan;2;Tesla;Model 3;337400;0;60
94;13477;2021;Sedan;4;Tesla;Model S;450000;0;98
95;19799;2015;Familjebuss;2;Nissan;e-NV200;74000;0;24
96;9150;2020;Sedan;4;Tesla;Model 3;245000;0;74
97;5884;2021;SUV;4;Tesla;Model Y;369899;0;75
98;793;2023;Halvkombi;2;Volkswagen;ID.3;339900;0;58
99;11529;2021;SUV;4;Mercedes-Benz;EQC;379500;1;80
100;8775;2021;Sedan;4;Polestar;2;359900;0;78
101;4950;2021;SUV;2;Mercedes-Benz;EQA;359000;0;70
102;970;2024;SUV;4;Mercedes-Benz;EQE;819000;0;91
103;4643;2022;Halvkombi;2;Nissan;Leaf;229000;0;40
104;1672;2023;Halvkombi;2;Renault;Mégane;339000;0;60
105;1746;2024;SUV;4;Kia;EV6;499800;1;77
106;4900;2022;SUV;4;Audi;Q4;455000;1;77
107;3291;2018;Småbil;2;Volkswagen;e-UP;99900;0;19
108;8949;2020;Sedan;2;Tesla;Model 3;229000;0;55
109;1687;2023;SUV;2;Audi;Q4;395000;0;77
110;3902;2022;Sedan;2;Polestar;2;309000;0;64
111;4364;2021;Sedan;4;Polestar;2;389000;0;78
112;5855;2022;Sedan;2;Tesla;Model 3;299000;0;60
113;4327;2023;SUV;4;Volkswagen;ID.4;365000;0;77
114;1487;2024;Sedan;2;Tesla;Model 3;439000;0;60
115;3593;2022;Sedan;2;Polestar;2;309000;0;64
116;6177;2021;Sedan;4;Polestar;2;349000;0;78
117;3420;2022;SUV;4;Tesla;Model Y;395000;0;75
118;4061;2022;Sedan;2;Polestar;2;309000;0;64
119;8651;2020;Sedan;4;Tesla;Model 3;279000;0;74
120;7659;2022;Sedan;4;Tesla;Model 3;315000;0;75
121;550;2022;SUV;2;Audi;Q4;419700;1;77
122;530;2023;SUV;4;Mercedes-Benz;EQE;779900;0;96
123;1500;2023;Halvkombi;2;Volkswagen;ID.3;369900;0;58
124;2678;2023;Halvkombi;2;Renault;Mégane;339000;0;60
125;3436;2022;Halvkombi;2;Renault;Zoe;179000;0;52
126;4460;2023;Halvkombi;2;Renault;Mégane;334990;0;60
127;6100;2022;Halvkombi;2;Cupra;Born;260000;0;58
128;9756;2018;Halvkombi;2;Renault;Zoe;90000;0;41
129;20514;2013;Sedan;2;Tesla;Model S;238800;0;81
130;2533;2024;Sedan;4;Polestar;2;538700;0;78
131;14524;2021;Sedan;4;Tesla;Model 3;249800;0;75
132;1575;2021;Halvkombi;2;Nissan;Leaf;169900;0;40
133;4047;2021;Halvkombi;2;Mazda;MX-30;169000;0;30
134;4497;2022;SUV;4;Tesla;Model Y;398000;0;75
135;693;2024;SUV;2;Volvo;C40;439000;0;79
136;254;2022;Halvkombi;2;Ora;Funky Cat;169900;0;48
137;8998;2021;SUV;4;Tesla;Model Y;368900;0;75
138;13914;2018;SUV;4;Tesla;Model X;425000;0;95
139;10831;2021;SUV;2;Skoda;Enyaq;285000;0;82
140;9200;2020;SUV;2;Kia;e-Niro;239800;0;64
141;3380;2022;Sedan;4;Porsche;Taycan;1100000;0;84
142;2489;2016;Halvkombi;2;Volkswagen;E-golf;165000;0;24
143;10387;2022;SUV;2;Hyundai;Ioniq 5;308900;0;72
144;3960;2022;SUV;4;Audi;Q4;459800;1;77
145;4323;2021;Yrkesfordon;2;Maxus;e-Deliver 3;149800;0;53
146;2300;2023;Sedan;4;Tesla;Model 3;449900;0;75
147;3748;2022;Halvkombi;2;Nissan;Leaf;209900;0;40
148;10064;2022;SUV;4;Tesla;Model Y;339800;0;75
149;0;2024;SUV;4;XPENG;G9;849900;1;93
